VAREGR,ENHED,TID,INDHOLD
01 Food and non-alcoholic beverages,Index,2022M04,112.8
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M04,116.3
07. Transport,Index,2022M04,115.8
01 Food and non-alcoholic beverages,Index,2022M05,116.0
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M05,115.8
07. Transport,Index,2022M05,118.9
01 Food and non-alcoholic beverages,Index,2022M06,119.2
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M06,115.9
07. Transport,Index,2022M06,122.0
01 Food and non-alcoholic beverages,Index,2022M07,122.9
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M07,117.0
07. Transport,Index,2022M07,121.7
01 Food and non-alcoholic beverages,Index,2022M08,123.0
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M08,118.1
07. Transport,Index,2022M08,119.5
01 Food and non-alcoholic beverages,Index,2022M09,122.3
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M09,123.1
07. Transport,Index,2022M09,119.2
01 Food and non-alcoholic beverages,Index,2022M10,122.9
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M10,124.6
07. Transport,Index,2022M10,121.2
01 Food and non-alcoholic beverages,Index,2022M11,123.5
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M11,122.0
07. Transport,Index,2022M11,119.0
01 Food and non-alcoholic beverages,Index,2022M12,121.2
"04. Housing, water, electricity, gas and other fuels  ",Index,2022M12,120.5
07. Transport,Index,2022M12,117.3
01 Food and non-alcoholic beverages,Index,2023M01,124.3
"04. Housing, water, electricity, gas and other fuels  ",Index,2023M01,120.3
07. Transport,Index,2023M01,118.4
01 Food and non-alcoholic beverages,Index,2023M02,127.2
"04. Housing, water, electricity, gas and other fuels  ",Index,2023M02,120.3
07. Transport,Index,2023M02,118.9
01 Food and non-alcoholic beverages,Index,2023M03,128.3
"04. Housing, water, electricity, gas and other fuels  ",Index,2023M03,119.5
07. Transport,Index,2023M03,118.8
